Date,LifetimeTotalLikes,DailyNewLikes,DailyUnlikes,DailyPageEngagedUsers,WeeklyPageEngagedUsers,QuotaPageEngagedUsers,DailyTotalReach,WeeklyTotalReach,QuotaTotalReach,DailyOrganicReach,WeeklyOrganicReach,QuotaOrganicReach,DailyViralReach,WeeklyViralReach,QuotaViralReach,DailyTotalImpressions,WeeklyTotalImpressions,QuotaTotalImpressions,DailyOrganicImpressions,WeeklyOrganicImpressions,QuotaOrganicImpressions
12/31/2021,134829,20,5,2338,16077,95753,18605,121723,558426,18509,121723,556869,1422,11555,96047,21303,162022,1189566,21140,160706,1175660
1/1/2022,134840,19,6,1941,16045,88586,17468,122526,535362,17462,122526,533931,1476,11667,80035,19597,158158,1047856,19444,156854,1034913
1/2/2022,134846,19,11,2066,15618,87053,19406,122096,531850,19406,121865,531850,1410,10769,72379,21806,155959,1011303,21600,154654,1002175
1/3/2022,134860,25,11,1830,14874,85955,17500,118989,527068,17450,118915,527068,1422,10207,68560,19777,150116,995985,19602,148856,987033
1/4/2022,134872,16,5,1510,13987,83904,13404,114486,522400,13375,113947,522400,1207,9797,65205,15119,143000,977990,14955,141778,969222
1/5/2022,134878,24,13,1920,14047,76970,16048,111192,495644,16048,111192,495644,1214,9363,57949,18924,139773,893317,18738,138549,885170
1/6/2022,134888,21,8,2066,13404,73458,16338,106587,486808,16319,106587,486808,1410,8880,54703,19879,136405,831790,19712,135191,824104
1/7/2022,134892,19,14,2357,13210,68215,19693,108347,440255,19665,108347,440255,1458,8975,50381,23159,138261,756380,22977,137028,749052
1/8/2022,134904,27,11,2202,13255,66565,20179,113018,431463,20123,113018,431463,1632,9189,47699,23257,141921,737655,23023,140607,730428
1/9/2022,134909,15,9,2017,13375,63484,17697,109448,421169,17697,109355,421169,1374,9316,47024,19576,139691,718538,19418,138425,711641
1/10/2022,134909,10,7,1862,13279,62810,15867,107674,406176,15859,107585,406176,1159,9193,45996,18325,138239,697562,18183,137006,691158
1/11/2022,134914,15,8,1652,13334,60331,16034,109560,395711,16031,109560,395711,1358,9184,45141,18049,141169,680612,17899,139950,674437
1/12/2022,134925,22,9,2124,13334,58785,16323,110972,393317,16323,110972,392618,1655,9643,44654,19785,142030,661180,19628,140840,655491
1/13/2022,134927,21,16,2363,13580,58826,20499,113364,393125,20458,113297,393125,1612,9980,44506,23191,145342,650322,23003,144131,644743
1/14/2022,134944,28,10,3510,14586,57468,33340,124986,390062,33330,124805,389082,1480,9922,43539,36744,158927,649441,36505,157659,643957
1/15/2022,135804,875,25,57756,69267,109481,211205,291724,541998,210978,291504,541619,77946,86026,117190,355986,491656,969922,347518,482154,956257
1/16/2022,135980,184,12,12759,79760,117868,69920,340141,577290,69838,339694,576860,30762,114953,144613,87930,560010,1028460,85771,548507,1012888
1/17/2022,136141,174,14,15186,89079,124674,117925,366510,594530,117925,365990,594074,16622,131120,158161,140812,682497,1139747,138507,668831,1122130
